publishedAt,authorDisplayName,textDisplay,likeCount,sentimen
2022-12-30T17:50:30Z,Nico Sanam,Sebentar lagi saya mendapatkan y,0,1
2022-12-28T13:55:41Z,browns,bismillah mudah2an undian poin indosat dpt hadiah mobil ini.klo dapat mau saya jual buat bikin kontrakan .aamiin,0,1
2022-12-28T05:30:18Z,Plankton,TAU MINECRAFT :V,0,1
2022-12-26T05:19:39Z,Fang Yin,Mau Tanya Mas. Ada ga mobil listrik yg bisa ngecas sendiri tanpa ngecas di rmh atau di Shell. Misalnya dr putaran roda atau rem gitu.,0,0
2022-12-26T04:11:19Z,Kaonashi's Gold,bisa ga ya Head unit Stargazer di upgrade ke head unit Ioniq5 ini?,0,0
2022-12-21T07:31:57Z,CALON PEMENANG,berapa tahun sekali ganti baterai ? dan brp harganya ?,0,0
2022-12-13T10:35:03Z,cch33tah,Ada garansi batere? Brp harga battery replacement? Masa pakai batere brp lama? Spt batere hp kl sdh dipakai 3-4 thn daya simpan casnya lunayan berkurang,0,0
2022-12-11T21:37:58Z,GARASI MOBIL CLASSIC (GMC),Itu mobil listri.. terus tiang listrik nya dimana ya..,0,-1
2022-12-11T03:55:19Z,Adi Satwika,Seandai ya mobil ESMK sperti ini di kembangkan dan izin dipermudah..,1,1
2022-12-11T00:00:57Z,Keponakan Luhur,mobil idaman banget ini,0,1
2022-12-02T16:28:05Z,Nugraha Elfarizie,Harga berapa dan dealer daerah Jakarta dimananya,0,0
2022-11-30T23:09:59Z,Save the Rhino,DeLorean versi PaHe,0,-1
2022-11-30T05:36:27Z,moza,masih pake USB type A? cigar lighter masih ada kah?,0,0
2022-11-27T05:59:25Z,Miftahul Iman,Teknologinya jauh beda bos,0,-1
2022-11-26T03:57:11Z,Trisna Riyanti,om mobil listri bisa di bawa naik jalan pegunungan ga ya ?,0,0
2022-11-25T12:55:15Z,Zaka Brizik,Kalau baterainya rusak gimana ya ğŸ¤”,0,0
2022-11-27T06:01:18Z,Miftahul Iman,Sekarang aja ioniq 5 bisa di charge cuma 18 menit doang<br>10 tahun kemudian teknologi BEV semakin canggih lagi bisa makin ngebut chargenya,0,1
2022-11-21T13:44:15Z,RokimXP RokimXP,Kalo banyak yg pake mobil listrik pasti PLN menaikkan harga listriknya bosku,1,-1
2022-11-18T15:10:11Z,EscobaR,Kalau rumah cuma 1500W gimana om?,0,0
2022-11-27T06:07:17Z,Miftahul Iman,Bikin sambungan baru aja,0,0
2022-11-17T17:19:12Z,ISNAN MP,Pickup tenaga listrik sudah ada blm bang fitra ğŸ˜,0,0
2022-11-16T01:45:24Z,Akbar Mujahiddin Nurzaman,Pantes laris. <br>Udah harganya menarik+penggerak roda belakangğŸ˜,0,1
2022-11-14T12:34:44Z,ah.zainal09,Berharap ada opsi 7 kursi seperti Tesla model X,0,1
2022-11-14T09:41:12Z,Eka Adhi,Mobile g20,0,1
2022-11-12T18:02:53Z,Rudy Setiady,Kaya mobil knight rider teruss fungsional bgd kalah Toyota,0,1
2022-11-10T08:59:23Z,Samuel dumai,Mobil ini emg keren bgt .. tpi Setelah dipikir pikir mendingan saya beli wuling air ev ğŸ˜­ğŸ˜­ğŸ˜­,0,-1
2022-11-09T12:21:16Z,remot games,Miawg,0,0
2022-11-09T06:02:49Z,upinipin upinipin,Duit mu akeh juga om ğŸ˜€,0,0
2022-11-06T06:18:07Z,wong edan 10,Harga Unit 400jt<br>Harga Batrey nya 450jt<br><br>Bagaimana Nasibnya<br>Klo TERKENA BANJiR<br>atau..<br>TERGENANG AiR ???<br><br>A. Jadi BANGKAi<br>B. BeLi Accu baru<br>C. Jual Kiloan<br>D. Rongsokan<br>E. Sampah,0,-1
2022-11-06T06:16:15Z,wong edan 10,Harga MOBiL 400 JUTA<br>Harga BATRY nya 450 JUTA<br>cocok tdk unt digunakan di INDONESIA ???<br>1. Suhu udara Naik turun<br>2. Sering Hujan<br>3. Sering BANJiR<br><br>bagaimana klo hrs melewati<br>GENANGAN air atau<br>Ter GENANG AiR<br>Akibat BANJiR ????????,0,-1
2022-11-27T11:02:57Z,wong edan 10,@Miftahul Iman <br>Nah.. kan.. gak paham<br>â˜ï¸ğŸ¤£ğŸ¤£ğŸ˜ğŸ˜ğŸ¤­ğŸ¤­,0,-1
2022-11-27T08:32:32Z,wong edan 10,@Miftahul Iman <br>Jwb aja.. klo mampu<br>Sbb..<br>Hampir semua penjelasan<br>Gak ada yg menjamin<br>ANTi BANJiR<br><br>Anti air iya...<br>Pasti semua mobil<br>Anti air<br>ğŸ˜ğŸ˜ğŸ¤£ğŸ¤£ğŸ¤­<br>Masih ngaku pintar?,0,-1
2022-11-27T07:09:18Z,Miftahul Iman,@wong edan 10 <br>Tau IP rating belum? Lain kali kalau punya kuota research dulu informasi ttg mobil listrik jangan jadi kayak orang yang bodoh,0,-1
2022-11-27T07:04:38Z,wong edan 10,@Miftahul Iman <br>Sdh siap kena BANJiR<br>???????<br>â˜ï¸ğŸ¤”ğŸ¤”ğŸ¤£ğŸ¤£ğŸ¤­ğŸ¤­ğŸ˜ğŸ˜,0,1
2022-11-06T04:01:51Z,Anwar Mandjar,looom gajiaaan,0,1
2022-11-05T01:35:19Z,Tops Wira,Harga mobil nya berapah,0,0
2022-11-05T00:45:26Z,LEGINO,Harus beli... Ni..,0,1
2022-11-04T00:41:20Z,Rizky Ramadhan,Kece banget si om ini ğŸ¤£,0,1
2022-11-03T16:22:22Z,Orlin Azzahra,Katanya harga baterainya kl rusak seharga mobilnya.,1,0
2022-10-27T17:11:28Z,Bad Ape,Anda ingin mobil yg keren atau ramah lingkungan atau hemat?<br>YES!,0,1
2022-10-26T11:40:29Z,Difa Malik,Allahumasholliala sayyidina Muhammad,0,0
2022-10-24T01:58:51Z,Safia Putri,Thanks reviewnya. Worth it with all its spec. n features. Tapi harganya masih di angan2 utk bisa beli hihi,0,1
2022-10-21T22:09:59Z,Iswanda Asmara,Pas banjir gimana tuh?â˜ºï¸,0,0
2022-11-27T06:10:46Z,Miftahul Iman,Udah ada IP rating,0,0
2022-10-21T02:16:10Z,JL Vlog,Mobil masa depan keren,1,1
2022-10-18T18:43:50Z,Ishaq Mahendra,pionir mibil listrik di indonesia nih mantap hyundai. btw salut juga sama shell tetap mengikuti perkembangan arus globalisasi,0,1
2022-10-17T19:28:18Z,Grandiest Yogaswara,Solawatin dulu gaesğŸ˜ğŸ˜‡,0,1
2022-10-15T06:39:06Z,Muhammad Taufik,Kasus Arsam dri Bandung tolong klarifikasi om fitra...,0,0
2022-10-14T13:31:55Z,alif hermaulana,Cicilan 50thn bisa g y ğŸ˜‚ğŸ˜‚ğŸ˜‚,0,0
2022-10-13T07:54:00Z,Budi Yanto,harga nya saingan Fortuner/Pajera/Alpahard ğŸ¤­,0,0
2022-10-12T03:06:34Z,Muh Ferdi Ardiansyah,Hyundai IONIQ 5 Power up the future.,0,1
2022-10-10T22:29:38Z,Gimana Dong? ,Cobak kalao ditambah bisa ngecas dengan sinar matahari beeeeh kuweeeren,0,1
"2022-10-08T04:35:20Z,Syarif Dayat,""Buruh pabrik gaji 1,9 bismilah nabung buat beliğŸ˜…"",0,1"
2022-10-07T10:45:32Z,MoMoNon,Ngeliat video ini gara2 fyp ditiktok gara2 cat mobil. Oh jadi ini mobil yang ngelotok ditempel lakban ğŸ˜‚,0,-1
2022-12-09T06:59:35Z,MoMoNon,@Miftahul Iman PPF buat whole body mobil. Ini lakban khusus buat pijakan kaki doang. Emang niatnya buat ngelindungin dari pijakan kaki doangg.,0,1
2022-11-27T06:13:51Z,Miftahul Iman,@MoMoNon <br>Lau pake PPF kalau mau melindungi body<br>Mampu beli mobil 800jt tapi PPF 50jt aja gak bisa,0,-1
2022-10-08T11:07:38Z,starvingphobia,ya ngapain juga mobil ditempelin lakban,0,-1
2022-10-08T08:09:29Z,Miftahul Iman,Kecil?,0,0
2022-10-06T07:42:35Z,fajar prabowo,Om Fitra....mohon pencerahannya. Ada pengaruhnya ga jarak tempuh dgn jumlah penumpang?,0,0
2022-10-04T09:58:55Z,Gerry Gurmilang,Itu bagasi depan buat bawa genset cukup gak? Just in case low batt ğŸ˜€,0,0
2022-10-04T04:03:21Z,Joshua Ravael,Kapan gue belinyaaaağŸ˜…,0,0
2022-10-03T04:01:40Z,Rizky Firmansyah,Semoga harganya beberapa tahun ke depan bisa turun ke 300 jutaan,0,1
2022-10-02T05:20:46Z,IRFAN IBRAHIM,bagus ya....,0,1
2022-10-02T04:10:29Z,jonymon,super gagah ni mobil,0,1
2022-10-02T03:52:03Z,Anung Hartanto,Bukan mobil rakyat jelata..Harga 800jt bagi kalangan umum masih mahal..chargernya pun hrs punya listrik dirumah dgn daya 7000W..rata2 warga menengah di kota daya listrik rumah 3500W -5500W,0,-1
2022-10-08T11:08:40Z,starvingphobia,kan udh dijelasin klo bisa ngajuin ke pln buat bikin sambungan baru dan dapet subsidi,0,1
2022-10-01T12:15:33Z,Ngurah Susrawan,Brp lama baterainya bertahan? Bs diperbaiki? atau hrs ganti...brp harganya?,0,0
2022-10-01T05:59:11Z,hendrik teguh,Ini sungguh mobil masa depan <br>Coba bayangin kita punya panel surya dan turbin angin gax usah beli listrik kita,0,1
2022-10-08T11:09:15Z,starvingphobia,mana dikasih sama pln,0,1
2022-09-30T17:58:39Z,Siti Holisoh,Bagaimana jika mobil listrik terendam banjir? apakah memakan biaya yang terjangkau apa sebalik nya?,0,0
2022-09-30T17:58:34Z,Siti Holisoh,Bagaimana jika mobil listrik terendam banjir? apakah memakan biaya yang terjangkau apa sebalik nya?,0,0
"2022-09-30T11:27:45Z,ka buyutan,""Kemahalan harga nya, ğŸ˜‚ğŸ˜‚ğŸ˜‚"",0,-1"
2022-09-30T09:33:36Z,Rahmat hidayat,Berapa lama ngisi bartei y dri keadaan low,0,0
2022-10-08T08:33:28Z,Miftahul Iman,Kalau pakai daya rumahan itu sekitar 6-7 jam,0,1
2022-09-30T00:06:13Z,SRS Story,Sy memenangkan undian mobil ioniq 5 dr bank. Sy berniat utk menjualnya. Dikasih harga terbaik di bawah dealer resmi Hyundai Padang. Kondisi Baru. Bagi yg Serius beli bisa hub sy. Khusus utk daerah Padang/Sumbar ya,2,1
2022-09-26T12:56:33Z,Gage Channel,sehat selalu om Eri...Mobil elektrik istimewa,1,1
2022-09-26T00:37:06Z,Law 888,Masih terlalu mahal...,0,-1
2022-09-24T12:22:44Z,John Wing Clan,Range yg disampaikan apakah bs ditempuh dgn penumpang penuh?,0,0
2022-09-24T06:36:43Z,Hemm 2,Intinya takut banyak yg nganggur dan demo klo sampai kebijakan mobil Listrik spt di Norwebia .... terlalu lama dibiarkan monopoli sih jd nya ya bgt ... cmiiw,0,0
2022-09-23T11:23:42Z,Rusli Pare,Pas di hutan cas habis....,0,-1
2022-09-23T08:04:27Z,mikael andar,Srs airbag nya gmn om?,0,0
2022-10-08T08:35:37Z,Miftahul Iman,Ada 6,0,1
2022-09-22T03:14:10Z,ron a,Sdh dp dari April 2022 belom ada update sampai skrng.. mgkn nanti Trima nya 2024. Org sdh pada spk drone tahun depan ğŸ˜‚,0,0
2022-09-21T08:24:21Z,Rahma Chyntia,Tetep ya mobil listrik itu bisa di beli kalangan menengah keatas karna daya watt nya kl diisi dirumah harus ada 6.600 wattğŸ˜…,0,1
2022-09-20T23:22:13Z,Koko Yusuf Ardiansyah,Lah gw ga sadar nonton udh 55 menit. Berarti gw sangat menikmati penjelasan om fitra yah wkwk,2,1
"2022-09-20T06:19:11Z,Iswahyudi H,""Di tunggu palisade elektrik..,baru keren..dan kemungkinan gw  bakal ganti mobil"",1,1"
2022-10-08T08:37:50Z,Miftahul Iman,Tunggu ioniq 7,0,1
2022-09-19T13:00:20Z,Pamungkas Aji,harganya yg murah dong .,0,1
2022-09-18T17:33:30Z,Muhammad Iqbal,Klo banjir gmn?,0,0
2022-10-08T10:30:50Z,Muhammad Iqbal,@Miftahul Iman maaf om.. baru keluar dari goa nih. Makanya nanya. Mungkin orang modern seperti om bisa menjawab,0,0
2022-10-08T08:38:08Z,Miftahul Iman,Pertanyaan jaman batu,0,0
2022-09-18T12:59:45Z,Joky Jeki,Berterimakasihlah pada dahlan iksan pencetus mobil listrik indonesia,0,1
2022-09-18T12:55:58Z,Jeff Muhalling,Shell malah komit banget suport kendaraan listrik.. pertamina kok gak malu ya?? Yg notabene perusahaan bumn milik negara,0,-1
2022-10-08T08:40:11Z,Miftahul Iman,Hyundai cuma CKD 100 unit ioniq 5 <br>Target awal seperti itu karena mereka tdk menyangka permintaan akan membludak seperti ini. Jadi ya supply-nya kalah jauh dibanding demand-nya,0,0
2022-09-18T01:45:00Z,d2light,review ioniq 6 om,0,1
2022-10-08T08:40:35Z,Miftahul Iman,Belum masuk,0,1
2022-09-17T13:26:58Z,okto bero,mobil mahal emang beda....hehe,0,1
2022-09-16T03:27:14Z,Chandra Sutanto,Kalo jalan jauh ke bali gk cocok bawa mbl ginian. Nunggu penuh nya aja lama ğŸ˜‚,0,-1
2022-09-14T05:49:30Z,Djap Hendro,Lutut ku bergetarâ€¦ hanya bisa ngeliat saja.. good job mas fitraâ€¦,0,1
2022-09-13T15:21:51Z,Indonesia Indonesia,TELKOMSEL RUSAK - RUSAK SAJA GELOMBANGANNYA BACA TULISAN SAYA INI BINATANG,0,-1
2022-09-13T09:51:11Z,Vincentius Bryan,Gampang buat dipake drifting hehehe,0,1
2022-09-10T09:14:58Z,Rizky Widatmanto,saya tetep beli new hrv aja ğŸ˜,0,0
"2022-09-10T06:22:11Z,Mike Salo,""Cat,y Berani tempelin lakban gak bang?? Katanya sih kecabut cat,y??ğŸ˜€ğŸ˜€"",0,0"
2022-09-10T06:20:14Z,Lisa Lisa,pajak nya brp om?,0,0
2022-09-10T04:58:43Z,akun backup,Kesini gara2 kakak beli ni mobil... Alhamdulillah ğŸ˜‡,0,1
2022-09-10T03:23:28Z,Hax crue,Oi gimana nih tanggapannya soal cat mengelupas. Influencer pada diem2 bae kl ad mslh beginian. Jgn2 bayaran hyundai yaa!,0,-1
2022-09-09T15:01:23Z,Malik Rivaldy,Kesini Gara2 liat di IG mobil ini ditempeli lakban cat mobilnya kebawa di lakbanya.,0,0
2022-09-09T13:34:53Z,Mas BosS,Ngecharge di warkop bisa gak om..ğŸ™ğŸ¥º,0,0
2022-09-09T10:20:22Z,Belqis Sandora,Dengar dengar cat nya kena lakban saja ngelupas ya...!,0,-1
2022-09-08T00:32:50Z,Sollution,Cat nya nglotok gak?,0,0
2022-09-07T10:18:31Z,muhammad masrudi,Jadi pingin punya mobil ev,0,1
2022-09-07T01:50:45Z,HeppiPinky,Rumah pun punya powerbank sekarang,0,1
2022-09-06T23:09:28Z,Dedy Winarta,Kualitas cat nya gimana om? Besok jangan lupa bawa lakban.,0,-1
2022-09-06T00:28:41Z,Kurnia Wati,Bang benarkah mobil ini cat nya terkelupas bila di kenakan lakban .,0,-1
2022-09-05T08:27:38Z,Donny Keang,Ini sdh bisa di pakai di luar jawa ya om fitra?,0,0
2022-09-04T04:18:01Z,PAPA BAGUS,Speed likmiter gak dibahas bang,0,0
2022-09-03T18:32:08Z,LOKIT YT,Mana Indonesia katanya mau bikin,0,1
