;textDisplay;sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
0;Sebentar lagi saya mendapatkan y;1.0;sebentar lagi saya mendapatkan;['sebentar', 'lagi', 'saya', 'mendapatkan'];['sebentar', 'lagi', 'saya', 'mendapatkan'];['sebentar'];sebentar;sebentar
1;bismillah mudah2an undian poin indosat dpt hadiah mobil ini.klo dapat mau saya jual buat bikin kontrakan .aamiin;1.0;bismillah mudah2an undian poin indosat dpt hadiah mobil ini klo dapat mau saya jual buat bikin kontrakan aamiin;['bismillah', 'mudah2an', 'undian', 'poin', 'indosat', 'dpt', 'hadiah', 'mobil', 'ini', 'klo', 'dapat', 'mau', 'saya', 'jual', 'buat', 'bikin', 'kontrakan', 'aamiin'];['bismillah', 'mudah2an', 'undian', 'poin', 'indosat', 'dapat ', 'hadiah', 'mobil', 'ini', 'kalau', 'dapat', 'mau', 'saya', 'jual', 'buat', 'membuat', 'kontrakan', 'semoga'];['bismillah', 'mudah2an', 'undian', 'poin', 'indosat', 'dapat ', 'hadiah', 'mobil', 'jual', 'kontrakan', 'semoga'];bismillah mudah2an undian poin indosat dapat  hadiah mobil jual kontrakan semoga;bismillah mudah2an undi poin indosat dapat hadiah mobil jual kontra moga
2;TAU MINECRAFT :V;1.0;allcaps tau minecraft allcaps;['allcaps', 'tau', 'minecraft', 'allcaps'];['allcaps', 'tau', 'minecraft', 'allcaps'];['allcaps', 'tau', 'minecraft', 'allcaps'];allcaps tau minecraft allcaps;allcaps tau minecraft allcaps
3;Mau Tanya Mas. Ada ga mobil listrik yg bisa ngecas sendiri tanpa ngecas di rmh atau di Shell. Misalnya dr putaran roda atau rem gitu.;0.0;mau tanya mas ada ga mobil listrik yg bisa ngecas sendiri tanpa ngecas di rmh atau di shell misalnya dr putaran roda atau rem gitu;['mau', 'tanya', 'mas', 'ada', 'ga', 'mobil', 'listrik', 'yg', 'bisa', 'ngecas', 'sendiri', 'tanpa', 'ngecas', 'di', 'rmh', 'atau', 'di', 'shell', 'misalnya', 'dr', 'putaran', 'roda', 'atau', 'rem', 'gitu'];['mau', 'tanya', 'mas', 'ada', 'tidak', 'mobil', 'listrik', 'yang', 'bisa', 'ngecas', 'sendiri', 'tanpa', 'ngecas', 'di', 'rumah', 'atau', 'di', 'shell', 'misalnya', 'dari', 'putaran', 'roda', 'atau', 'rem', 'gitu'];['mas', 'mobil', 'listrik', 'ngecas', 'ngecas', 'rumah', 'shell', 'putaran', 'roda', 'rem', 'gitu'];mas mobil listrik ngecas ngecas rumah shell putaran roda rem gitu;mas mobil listrik ngecas ngecas rumah shell putar roda rem gitu
4;bisa ga ya Head unit Stargazer di upgrade ke head unit Ioniq5 ini?;0.0;bisa ga ya head unit stargazer di upgrade ke head unit ioniq5 ini;['bisa', 'ga', 'ya', 'head', 'unit', 'stargazer', 'di', 'upgrade', 'ke', 'head', 'unit', 'ioniq5', 'ini'];['bisa', 'tidak', 'iya', 'head', 'unit', 'stargazer', 'di', 'upgrade', 'ke', 'head', 'unit', 'ioniq5', 'ini'];['iya', 'head', 'unit', 'stargazer', 'upgrade', 'head', 'unit', 'ioniq5'];iya head unit stargazer upgrade head unit ioniq5;iya head unit stargazer upgrade head unit ioniq5
5;berapa tahun sekali ganti baterai ? dan brp harganya ?;0.0;berapa tahun sekali ganti baterai dan brp harganya;['berapa', 'tahun', 'sekali', 'ganti', 'baterai', 'dan', 'brp', 'harganya'];['berapa', 'tahun', 'sekali', 'ganti', 'baterai', 'dan', 'brp', 'harganya'];['ganti', 'baterai', 'brp', 'harganya'];ganti baterai brp harganya;ganti baterai brp harga
6;Ada garansi batere? Brp harga battery replacement? Masa pakai batere brp lama? Spt batere hp kl sdh dipakai 3-4 thn daya simpan casnya lunayan berkurang;0.0;ada garansi batere brp harga battery replacement masa pakai batere brp lama spt batere hp kl sdh dipakai number number thn daya simpan casnya lunayan berkurang;['ada', 'garansi', 'batere', 'brp', 'harga', 'battery', 'replacement', 'masa', 'pakai', 'batere', 'brp', 'lama', 'spt', 'batere', 'hp', 'kl', 'sdh', 'dipakai', 'number', 'number', 'thn', 'daya', 'simpan', 'casnya', 'lunayan', 'berkurang'];['ada', 'garansi', 'batere', 'brp', 'harga', 'battery', 'replacement', 'masa', 'pakai', 'batere', 'brp', 'lama', 'seperti', 'batere', 'hp', 'kalau', 'sudah', 'dipakai', 'number', 'number', 'tahun', 'daya', 'simpan', 'casnya', 'lunayan', 'berkurang'];['garansi', 'batere', 'brp', 'harga', 'battery', 'replacement', 'pakai', 'batere', 'brp', 'batere', 'hp', 'dipakai', 'number', 'number', 'daya', 'simpan', 'casnya', 'lunayan', 'berkurang'];garansi batere brp harga battery replacement pakai batere brp batere hp dipakai number number daya simpan casnya lunayan berkurang;garansi batere brp harga battery replacement pakai batere brp batere hp pakai number number daya simpan cas lunayan kurang
7;Itu mobil listri.. terus tiang listrik nya dimana ya..;-1.0;itu mobil listri repeated terus tiang listrik nya dimana ya repeated;['itu', 'mobil', 'listri', 'repeated', 'terus', 'tiang', 'listrik', 'nya', 'dimana', 'ya', 'repeated'];['itu', 'mobil', 'listri', 'repeated', 'terus', 'tiang', 'listrik', 'nya', 'dimana', 'iya', 'repeated'];['mobil', 'listri', 'repeated', 'tiang', 'listrik', 'nya', 'dimana', 'iya', 'repeated'];mobil listri repeated tiang listrik nya dimana iya repeated;mobil listri repeated tiang listrik nya mana iya repeated
8;Seandai ya mobil ESMK sperti ini di kembangkan dan izin dipermudah..;1.0;seandai ya mobil allcaps esmk allcaps sperti ini di kembangkan dan izin dipermudah repeated;['seandai', 'ya', 'mobil', 'allcaps', 'esmk', 'allcaps', 'sperti', 'ini', 'di', 'kembangkan', 'dan', 'izin', 'dipermudah', 'repeated'];['seandai', 'iya', 'mobil', 'allcaps', 'esmk', 'allcaps', 'sperti', 'ini', 'di', 'kembangkan', 'dan', 'izin', 'dipermudah', 'repeated'];['seandai', 'iya', 'mobil', 'allcaps', 'esmk', 'allcaps', 'sperti', 'kembangkan', 'izin', 'dipermudah', 'repeated'];seandai iya mobil allcaps esmk allcaps sperti kembangkan izin dipermudah repeated;anda iya mobil allcaps esmk allcaps sperti kembang izin mudah repeated
9;mobil idaman banget ini;1.0;mobil idaman banget ini;['mobil', 'idaman', 'banget', 'ini'];['mobil', 'idaman', 'banget', 'ini'];['mobil', 'idaman', 'banget'];mobil idaman banget;mobil idam banget
10;Harga berapa dan dealer daerah Jakarta dimananya;0.0;harga berapa dan dealer daerah jakarta dimananya;['harga', 'berapa', 'dan', 'dealer', 'daerah', 'jakarta', 'dimananya'];['harga', 'berapa', 'dan', 'dealer', 'daerah', 'jakarta', 'dimananya'];['harga', 'dealer', 'daerah', 'jakarta', 'dimananya'];harga dealer daerah jakarta dimananya;harga dealer daerah jakarta mana
11;DeLorean versi PaHe;-1.0;delorean versi pahe;['delorean', 'versi', 'pahe'];['delorean', 'versi', 'pahe'];['delorean', 'versi', 'pahe'];delorean versi pahe;delorean versi pahe
12;masih pake USB type A? cigar lighter masih ada kah?;0.0;masih pake allcaps usb allcaps type cigar lighter masih ada kah;['masih', 'pake', 'allcaps', 'usb', 'allcaps', 'type', 'cigar', 'lighter', 'masih', 'ada', 'kah'];['masih', 'pakai', 'allcaps', 'usb', 'allcaps', 'type', 'cigar', 'lighter', 'masih', 'ada', 'kah'];['pakai', 'allcaps', 'usb', 'allcaps', 'type', 'cigar', 'lighter', 'kah'];pakai allcaps usb allcaps type cigar lighter kah;pakai allcaps usb allcaps type cigar lighter kah
13;Teknologinya jauh beda bos;-1.0;teknologinya jauh beda bos;['teknologinya', 'jauh', 'beda', 'bos'];['teknologinya', 'jauh', 'beda', 'bos'];['teknologinya', 'beda', 'bos'];teknologinya beda bos;teknologi beda bos
14;om mobil listri bisa di bawa naik jalan pegunungan ga ya ?;0.0;om mobil listri bisa di bawa naik jalan pegunungan ga ya;['om', 'mobil', 'listri', 'bisa', 'di', 'bawa', 'naik', 'jalan', 'pegunungan', 'ga', 'ya'];['om', 'mobil', 'listri', 'bisa', 'di', 'bawa', 'naik', 'jalan', 'pegunungan', 'tidak', 'iya'];['om', 'mobil', 'listri', 'bawa', 'jalan', 'pegunungan', 'iya'];om mobil listri bawa jalan pegunungan iya;om mobil listri bawa jalan gunung iya
15;Kalau baterainya rusak gimana ya ğŸ¤”;0.0;kalau baterainya rusak gimana ya;['kalau', 'baterainya', 'rusak', 'gimana', 'ya'];['kalau', 'baterainya', 'rusak', 'bagaimana', 'iya'];['baterainya', 'rusak', 'iya'];baterainya rusak iya;baterai rusak iya
16;Sekarang aja ioniq 5 bisa di charge cuma 18 menit doang<br>10 tahun kemudian teknologi BEV semakin canggih lagi bisa makin ngebut chargenya;1.0;sekarang aja ioniq number bisa di charge cuma number menit doang br number tahun kemudian teknologi allcaps bev allcaps semakin canggih lagi bisa makin ngebut chargenya;['sekarang', 'aja', 'ioniq', 'number', 'bisa', 'di', 'charge', 'cuma', 'number', 'menit', 'doang', 'br', 'number', 'tahun', 'kemudian', 'teknologi', 'allcaps', 'bev', 'allcaps', 'semakin', 'canggih', 'lagi', 'bisa', 'makin', 'ngebut', 'chargenya'];['sekarang', 'saja', 'ioniq', 'number', 'bisa', 'di', 'charge', 'cuma', 'number', 'menit', 'saja', 'br', 'number', 'tahun', 'kemudian', 'teknologi', 'allcaps', 'bev', 'allcaps', 'semakin', 'canggih', 'lagi', 'bisa', 'makin', 'ngebut', 'chargenya'];['ioniq', 'number', 'charge', 'number', 'menit', 'br', 'number', 'teknologi', 'allcaps', 'bev', 'allcaps', 'canggih', 'ngebut', 'chargenya'];ioniq number charge number menit br number teknologi allcaps bev allcaps canggih ngebut chargenya;ioniq number charge number menit br number teknologi allcaps bev allcaps canggih ngebut chargenya
17;Kalo banyak yg pake mobil listrik pasti PLN menaikkan harga listriknya bosku;-1.0;kalo banyak yg pake mobil listrik pasti allcaps pln allcaps menaikkan harga listriknya bosku;['kalo', 'banyak', 'yg', 'pake', 'mobil', 'listrik', 'pasti', 'allcaps', 'pln', 'allcaps', 'menaikkan', 'harga', 'listriknya', 'bosku'];['kalau', 'banyak', 'yang', 'pakai', 'mobil', 'listrik', 'pasti', 'allcaps', 'pln', 'allcaps', 'menaikkan', 'harga', 'listriknya', 'bosku'];['pakai', 'mobil', 'listrik', 'allcaps', 'pln', 'allcaps', 'menaikkan', 'harga', 'listriknya', 'bosku'];pakai mobil listrik allcaps pln allcaps menaikkan harga listriknya bosku;pakai mobil listrik allcaps pln allcaps naik harga listrik bos
18;Kalau rumah cuma 1500W gimana om?;0.0;kalau rumah cuma 1 5 0 0 gimana om;['kalau', 'rumah', 'cuma', '1', '5', '0', '0', 'gimana', 'om'];['kalau', 'rumah', 'cuma', '1', '5', '0', '0', 'bagaimana', 'om'];['rumah', '1', '5', '0', '0', 'om'];rumah 1 5 0 0 om;rumah 1 5 0 0 om
19;Bikin sambungan baru aja;0.0;bikin sambungan baru aja;['bikin', 'sambungan', 'baru', 'aja'];['membuat', 'sambungan', 'baru', 'saja'];['sambungan'];sambungan;sambung
20;Pickup tenaga listrik sudah ada blm bang fitra ğŸ˜;0.0;pickup tenaga listrik sudah ada blm bang fitra;['pickup', 'tenaga', 'listrik', 'sudah', 'ada', 'blm', 'bang', 'fitra'];['pickup', 'tenaga', 'listrik', 'sudah', 'ada', 'belum', 'bang', 'fitra'];['pickup', 'tenaga', 'listrik', 'bang', 'fitra'];pickup tenaga listrik bang fitra;pickup tenaga listrik bang fitra
21;Pantes laris. <br>Udah harganya menarik+penggerak roda belakangğŸ˜;1.0;pantes laris br udah harganya menarik penggerak roda belakang;['pantes', 'laris', 'br', 'udah', 'harganya', 'menarik', 'penggerak', 'roda', 'belakang'];['pantas', 'laris', 'br', 'sudah', 'harganya', 'menarik', 'penggerak', 'roda', 'belakang'];['laris', 'br', 'harganya', 'menarik', 'penggerak', 'roda'];laris br harganya menarik penggerak roda;laris br harga tarik gerak roda
22;Berharap ada opsi 7 kursi seperti Tesla model X;1.0;berharap ada opsi number kursi seperti tesla model;['berharap', 'ada', 'opsi', 'number', 'kursi', 'seperti', 'tesla', 'model'];['berharap', 'ada', 'opsi', 'number', 'kursi', 'seperti', 'tesla', 'model'];['berharap', 'opsi', 'number', 'kursi', 'tesla', 'model'];berharap opsi number kursi tesla model;harap opsi number kursi tesla model
23;Mobile g20;1.0;mobile g20;['mobile', 'g20'];['mobile', 'g20'];['mobile', 'g20'];mobile g20;mobile g20
24;Kaya mobil knight rider teruss fungsional bgd kalah Toyota;1.0;kaya mobil knight rider teruss fungsional bgd kalah toyota;['kaya', 'mobil', 'knight', 'rider', 'teruss', 'fungsional', 'bgd', 'kalah', 'toyota'];['kaya', 'mobil', 'knight', 'rider', 'terus', 'fungsional', 'bgd', 'kalah', 'toyota'];['kaya', 'mobil', 'knight', 'rider', 'fungsional', 'bgd', 'kalah', 'toyota'];kaya mobil knight rider fungsional bgd kalah toyota;kaya mobil knight rider fungsional bgd kalah toyota
25;Mobil ini emg keren bgt .. tpi Setelah dipikir pikir mendingan saya beli wuling air ev ğŸ˜­ğŸ˜­ğŸ˜­;-1.0;mobil ini emg keren bgt repeated tpi setelah dipikir pikir mendingan saya beli wuling air ev;['mobil', 'ini', 'emg', 'keren', 'bgt', 'repeated', 'tpi', 'setelah', 'dipikir', 'pikir', 'mendingan', 'saya', 'beli', 'wuling', 'air', 'ev'];['mobil', 'ini', 'memang', 'keren', 'banget', 'repeated', 'tapi', 'setelah', 'dipikir', 'pikir', 'baiknya', 'saya', 'beli', 'wuling', 'air', 'ev'];['mobil', 'keren', 'banget', 'repeated', 'dipikir', 'pikir', 'baiknya', 'beli', 'wuling', 'air', 'ev'];mobil keren banget repeated dipikir pikir baiknya beli wuling air ev;mobil keren banget repeated pikir pikir baik beli wuling air ev
27;Duit mu akeh juga om ğŸ˜€;0.0;duit mu akeh juga om;['duit', 'mu', 'akeh', 'juga', 'om'];['duit', 'mu', 'akeh', 'juga', 'om'];['duit', 'mu', 'akeh', 'om'];duit mu akeh om;duit mu akeh om
28;Harga Unit 400jt<br>Harga Batrey nya 450jt<br><br>Bagaimana Nasibnya<br>Klo TERKENA BANJiR<br>atau..<br>TERGENANG AiR ???<br><br>A. Jadi BANGKAi<br>B. BeLi Accu baru<br>C. Jual Kiloan<br>D. Rongsokan<br>E. Sampah;-1.0;harga unit 4 0 0 jt br harga batrey nya 4 5 0 jt br br bagaimana nasibnya br klo allcaps terkena allcaps banjir br atau repeated br allcaps tergenang allcaps air repeated br br jadi bangkai br beli accu baru br jual kiloan br rongsokan br sampah;['harga', 'unit', '4', '0', '0', 'jt', 'br', 'harga', 'batrey', 'nya', '4', '5', '0', 'jt', 'br', 'br', 'bagaimana', 'nasibnya', 'br', 'klo', 'allcaps', 'terkena', 'allcaps', 'banjir', 'br', 'atau', 'repeated', 'br', 'allcaps', 'tergenang', 'allcaps', 'air', 'repeated', 'br', 'br', 'jadi', 'bangkai', 'br', 'beli', 'accu', 'baru', 'br', 'jual', 'kiloan', 'br', 'rongsokan', 'br', 'sampah'];['harga', 'unit', '4', '0', '0', 'jt', 'br', 'harga', 'batrey', 'nya', '4', '5', '0', 'jt', 'br', 'br', 'bagaimana', 'nasibnya', 'br', 'kalau', 'allcaps', 'terkena', 'allcaps', 'banjir', 'br', 'atau', 'repeated', 'br', 'allcaps', 'tergenang', 'allcaps', 'air', 'repeated', 'br', 'br', 'jadi', 'bangkai', 'br', 'beli', 'accu', 'baru', 'br', 'jual', 'kiloan', 'br', 'rongsokan', 'br', 'sampah'];['harga', 'unit', '4', '0', '0', 'jt', 'br', 'harga', 'batrey', 'nya', '4', '5', '0', 'jt', 'br', 'br', 'nasibnya', 'br', 'allcaps', 'terkena', 'allcaps', 'banjir', 'br', 'repeated', 'br', 'allcaps', 'tergenang', 'allcaps', 'air', 'repeated', 'br', 'br', 'bangkai', 'br', 'beli', 'accu', 'br', 'jual', 'kiloan', 'br', 'rongsokan', 'br', 'sampah'];harga unit 4 0 0 jt br harga batrey nya 4 5 0 jt br br nasibnya br allcaps terkena allcaps banjir br repeated br allcaps tergenang allcaps air repeated br br bangkai br beli accu br jual kiloan br rongsokan br sampah;harga unit 4 0 0 jt br harga batrey nya 4 5 0 jt br br nasib br allcaps kena allcaps banjir br repeated br allcaps genang allcaps air repeated br br bangkai br beli accu br jual kilo br rongsok br sampah
29;Harga MOBiL 400 JUTA<br>Harga BATRY nya 450 JUTA<br>cocok tdk unt digunakan di INDONESIA ???<br>1. Suhu udara Naik turun<br>2. Sering Hujan<br>3. Sering BANJiR<br><br>bagaimana klo hrs melewati<br>GENANGAN air atau<br>Ter GENANG AiR<br>Akibat BANJiR ????????;-1.0;harga mobil number allcaps juta allcaps br harga allcaps batry allcaps nya number allcaps juta allcaps br cocok tdk unt digunakan di allcaps indonesia allcaps repeated br number suhu udara naik turun br number sering hujan br number sering banjir br br bagaimana klo hrs melewati br allcaps genangan allcaps air atau br ter allcaps genang allcaps air br akibat banjir repeated;['harga', 'mobil', 'number', 'allcaps', 'juta', 'allcaps', 'br', 'harga', 'allcaps', 'batry', 'allcaps', 'nya', 'number', 'allcaps', 'juta', 'allcaps', 'br', 'cocok', 'tdk', 'unt', 'digunakan', 'di', 'allcaps', 'indonesia', 'allcaps', 'repeated', 'br', 'number', 'suhu', 'udara', 'naik', 'turun', 'br', 'number', 'sering', 'hujan', 'br', 'number', 'sering', 'banjir', 'br', 'br', 'bagaimana', 'klo', 'hrs', 'melewati', 'br', 'allcaps', 'genangan', 'allcaps', 'air', 'atau', 'br', 'ter', 'allcaps', 'genang', 'allcaps', 'air', 'br', 'akibat', 'banjir', 'repeated'];['harga', 'mobil', 'number', 'allcaps', 'juta', 'allcaps', 'br', 'harga', 'allcaps', 'batry', 'allcaps', 'nya', 'number', 'allcaps', 'juta', 'allcaps', 'br', 'cocok', 'tidak', 'unt', 'digunakan', 'di', 'allcaps', 'indonesia', 'allcaps', 'repeated', 'br', 'number', 'suhu', 'udara', 'naik', 'turun', 'br', 'number', 'sering', 'hujan', 'br', 'number', 'sering', 'banjir', 'br', 'br', 'bagaimana', 'kalau', 'harus', 'melewati', 'br', 'allcaps', 'genangan', 'allcaps', 'air', 'atau', 'br', 'ter', 'allcaps', 'genang', 'allcaps', 'air', 'br', 'akibat', 'banjir', 'repeated'];['harga', 'mobil', 'number', 'allcaps', 'juta', 'allcaps', 'br', 'harga', 'allcaps', 'batry', 'allcaps', 'nya', 'number', 'allcaps', 'juta', 'allcaps', 'br', 'cocok', 'unt', 'allcaps', 'indonesia', 'allcaps', 'repeated', 'br', 'number', 'suhu', 'udara', 'turun', 'br', 'number', 'hujan', 'br', 'number', 'banjir', 'br', 'br', 'melewati', 'br', 'allcaps', 'genangan', 'allcaps', 'air', 'br', 'ter', 'allcaps', 'genang', 'allcaps', 'air', 'br', 'akibat', 'banjir', 'repeated'];harga mobil number allcaps juta allcaps br harga allcaps batry allcaps nya number allcaps juta allcaps br cocok unt allcaps indonesia allcaps repeated br number suhu udara turun br number hujan br number banjir br br melewati br allcaps genangan allcaps air br ter allcaps genang allcaps air br akibat banjir repeated;harga mobil number allcaps juta allcaps br harga allcaps batry allcaps nya number allcaps juta allcaps br cocok unt allcaps indonesia allcaps repeated br number suhu udara turun br number hujan br number banjir br br lewat br allcaps genang allcaps air br ter allcaps genang allcaps air br akibat banjir repeated
30;@Miftahul Iman <br>Nah.. kan.. gak paham<br>â˜ï¸ğŸ¤£ğŸ¤£ğŸ˜ğŸ˜ğŸ¤­ğŸ¤­;-1.0;user iman br nah repeated kan repeated gak paham br;['user', 'iman', 'br', 'nah', 'repeated', 'kan', 'repeated', 'gak', 'paham', 'br'];['user', 'iman', 'br', 'nah', 'repeated', 'kan', 'repeated', 'tidak', 'paham', 'br'];['user', 'iman', 'br', 'repeated', 'repeated', 'paham', 'br'];user iman br repeated repeated paham br;user iman br repeated repeated paham br
31;@Miftahul Iman <br>Jwb aja.. klo mampu<br>Sbb..<br>Hampir semua penjelasan<br>Gak ada yg menjamin<br>ANTi BANJiR<br><br>Anti air iya...<br>Pasti semua mobil<br>Anti air<br>ğŸ˜ğŸ˜ğŸ¤£ğŸ¤£ğŸ¤­<br>Masih ngaku pintar?;-1.0;user iman br jwb aja repeated klo mampu br sbb repeated br hampir semua penjelasan br gak ada yg menjamin br anti banjir br br anti air iya repeated br pasti semua mobil br anti air br br masih ngaku pintar;['user', 'iman', 'br', 'jwb', 'aja', 'repeated', 'klo', 'mampu', 'br', 'sbb', 'repeated', 'br', 'hampir', 'semua', 'penjelasan', 'br', 'gak', 'ada', 'yg', 'menjamin', 'br', 'anti', 'banjir', 'br', 'br', 'anti', 'air', 'iya', 'repeated', 'br', 'pasti', 'semua', 'mobil', 'br', 'anti', 'air', 'br', 'br', 'masih', 'ngaku', 'pintar'];['user', 'iman', 'br', 'jwb', 'saja', 'repeated', 'kalau', 'mampu', 'br', 'sbb', 'repeated', 'br', 'hampir', 'semua', 'penjelasan', 'br', 'tidak', 'ada', 'yang', 'menjamin', 'br', 'anti', 'banjir', 'br', 'br', 'anti', 'air', 'iya', 'repeated', 'br', 'pasti', 'semua', 'mobil', 'br', 'anti', 'air', 'br', 'br', 'masih', 'ngaku', 'pintar'];['user', 'iman', 'br', 'jwb', 'repeated', 'br', 'sbb', 'repeated', 'br', 'penjelasan', 'br', 'menjamin', 'br', 'anti', 'banjir', 'br', 'br', 'anti', 'air', 'iya', 'repeated', 'br', 'mobil', 'br', 'anti', 'air', 'br', 'br', 'ngaku', 'pintar'];user iman br jwb repeated br sbb repeated br penjelasan br menjamin br anti banjir br br anti air iya repeated br mobil br anti air br br ngaku pintar;user iman br jwb repeated br sbb repeated br jelas br jamin br anti banjir br br anti air iya repeated br mobil br anti air br br ngaku pintar
